Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
13,957,1412619790,2,6786.77,3,335.404,5,1589.65,3,341.705,11,6147.76,4,570.57,6,1299.71,5,1469.42,4,550.7,3,341.705
13,958,1412619790,12,6786.77,8,1585.95,2,454.978,13,2953.52,3,1323.05,10,4170.58,5,740.198,12,5361.74,11,2765.04,12,3044.45
13,959,1412619790,6,6786.77,10,2254.2,10,4905.53,8,1670.11,4,1960.5,11,4808.03,10,2526.25,13,5999.19,10,2127.6,10,2021.64
13,960,1412619790,7,6786.77,12,2534.96,8,3581.74,9,1808.1,10,5553.25,5,1165.07,11,2664.24,8,3025.68,8,1846.83,8,1740.88
13,961,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,962,1412619790,10,6786.77,6,944.448,11,5515.98,6,957.791,5,2570.95,8,3356.71,9,1915.8,9,3705.73,7,1166.79,6,957.791
13,963,1412619790,11,6786.77,4,633.754,9,4278.43,5,686.352,7,4065.89,6,1861.77,8,1644.36,7,2328.99,6,895.347,5,686.352
13,964,1412619790,8,6786.77,13,2688.45,6,2269.73,11,2128.93,2,530.439,12,5038.22,13,2985.06,11,4569.13,13,3589.64,11,2251.84
13,965,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,966,1412619790,2,6786.77,3,335.404,5,1589.65,3,341.705,11,6147.76,4,570.57,6,1299.71,5,1469.42,4,550.7,3,341.705
13,967,1412619790,10,6786.77,6,944.448,11,5515.98,6,957.791,5,2570.95,8,3356.71,9,1915.8,9,3705.73,7,1166.79,6,957.791
13,968,1412619790,1,6786.77,2,84.1838,3,926.701,7,1299.94,12,6398.98,9,3698.86,2,84.1838,2,84.1838,3,299.48,7,1299.94
13,969,1412619790,7,6786.77,12,2534.96,8,3581.74,9,1808.1,10,5553.25,5,1165.07,11,2664.24,8,3025.68,8,1846.83,8,1740.88
13,970,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,971,1412619790,3,6786.77,5,763.524,7,2968.52,4,556.582,9,4940.03,3,355.693,7,1514.59,4,1254.54,5,765.577,4,556.582
13,972,1412619790,5,6786.77,9,1877.69,4,1209.09,12,2661.78,8,4544.91,13,5571.07,4,448.458,6,1849.97,12,3056.78,13,3336.19
13,973,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,974,1412619790,7,6786.77,12,2534.96,8,3581.74,9,1808.1,10,5553.25,5,1165.07,11,2664.24,8,3025.68,8,1846.83,8,1740.88
13,975,1412619790,8,6786.77,13,2688.45,6,2269.73,11,2128.93,2,530.439,12,5038.22,13,2985.06,11,4569.13,13,3589.64,11,2251.84
13,976,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,977,1412619790,6,6786.77,10,2254.2,10,4905.53,8,1670.11,4,1960.5,11,4808.03,10,2526.25,13,5999.19,10,2127.6,10,2021.64
13,978,1412619790,0,6786.77,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,979,1412619790,2,6786.77,3,335.404,5,1589.65,3,341.705,11,6147.76,4,570.57,6,1299.71,5,1469.42,4,550.7,3,341.705
13,980,1412619790,2,6786.77,3,335.404,5,1589.65,3,341.705,11,6147.76,4,570.57,6,1299.71,5,1469.42,4,550.7,3,341.705
13,981,1412619790,8,6786.77,13,2688.45,6,2269.73,11,2128.93,2,530.439,12,5038.22,13,2985.06,11,4569.13,13,3589.64,11,2251.84
13,982,1412619790,4,6786.77,7,1248.73,13,6786.77,2,119.828,13,6578.63,2,119.828,3,263.836,10,4010.01,2,119.828,2,119.828
13,983,1412619790,2,6786.77,3,335.404,5,1589.65,3,341.705,11,6147.76,4,570.57,6,1299.71,5,1469.42,4,550.7,3,341.705
