Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (MCTS-UCT),Traveled Distance (MCTS-UCT),Rooms Explored (ExpectedDistanceFixed),Traveled Distance (ExpectedDistanceFixed),Rooms Explored (ExpectedDistanceMurrieta),Traveled Distance (ExpectedDistanceMurrieta),Rooms Explored (ExpectedDistanceSimple),Traveled Distance (ExpectedDistanceSimple)
50,128,1416461360,38,0,39,55187.1,39,55187.1,39,55187.1,39,55187.1,21,30327.2,13,12185.5,38,56089.7,43,51564.5,13,16908.6,24,23169.9,27,27825.8
50,129,1416461360,27,0,28,39588.1,28,39588.1,28,39588.1,28,39588.1,7,9407.94,12,11046.4,48,70413.9,14,14831,3,2256.73,23,22030.8,4,3210.14
50,130,1416461360,31,0,32,45807.1,32,45807.1,32,45807.1,32,45807.1,5,6623.13,3,2205.06,10,13484.6,39,46417.9,8,9647.27,28,27233.7,16,15106.5
50,131,1416461360,30,0,31,44086.3,31,44086.3,31,44086.3,31,44086.3,23,33687.5,27,26364.3,28,40948.3,21,23420.1,26,38350.1,50,54268.3,26,26554.9
50,132,1416461360,39,0,40,56578.8,40,56578.8,40,56578.8,40,56578.8,34,50422,5,4297.26,15,20744.6,15,16144.7,34,49886.6,30,29325.9,35,37699.5
50,133,1416461360,24,0,25,34089,25,34089,25,34089,25,34089,31,45452.2,14,13430.1,44,64490.8,40,47771.5,37,55022.5,3,2421.77,33,35260.3
50,134,1416461360,48,0,49,70537.1,49,70537.1,49,70537.1,49,70537.1,17,23910.9,50,52596.4,49,71791.6,17,18610.1,16,20563.6,16,15087.3,22,22152.8
50,135,1416461360,29,0,30,42687.9,30,42687.9,30,42687.9,30,42687.9,13,17817.2,37,36730.8,42,62113.5,33,37095.4,20,27772.1,37,37476.6,28,29181.6
50,136,1416461360,22,0,23,30790.8,23,30790.8,23,30790.8,23,30790.8,6,8444.72,6,5298.36,46,67436.4,9,8697.79,17,22336.9,13,12287.5,8,6748.36
50,137,1416461360,12,0,13,15404,13,15404,13,15404,13,15404,10,13537.2,36,35493.9,34,48669.2,32,35858.6,11,13931.1,4,3311.09,10,8681.11
50,138,1416461360,17,0,18,22813,18,22813,18,22813,18,22813,3,3682.62,15,14569.3,18,25318.1,2,1191.54,2,1191.54,2,1191.54,20,19513.3
50,139,1416461360,27,0,28,39588.1,28,39588.1,28,39588.1,28,39588.1,7,9407.94,12,11046.4,48,70413.9,14,14831,3,2256.73,23,22030.8,4,3210.14
50,140,1416461360,42,0,43,60398.8,43,60398.8,43,60398.8,43,60398.8,28,41348.8,45,45399.9,32,45872.6,41,48703,35,51147,44,45710.6,18,17040.3
50,141,1416461360,22,0,23,30790.8,23,30790.8,23,30790.8,23,30790.8,6,8444.72,6,5298.36,46,67436.4,9,8697.79,17,22336.9,13,12287.5,8,6748.36
50,142,1416461360,27,0,28,39588.1,28,39588.1,28,39588.1,28,39588.1,7,9407.94,12,11046.4,48,70413.9,14,14831,3,2256.73,23,22030.8,4,3210.14
50,143,1416461360,35,0,36,51299,36,51299,36,51299,36,51299,12,16436.9,33,32559.9,26,37753,5,4233.6,22,31597.5,7,6207.17,3,2137
50,144,1416461360,35,0,36,51299,36,51299,36,51299,36,51299,12,16436.9,33,32559.9,26,37753,5,4233.6,22,31597.5,7,6207.17,3,2137
50,145,1416461360,29,0,30,42687.9,30,42687.9,30,42687.9,30,42687.9,13,17817.2,37,36730.8,42,62113.5,33,37095.4,20,27772.1,37,37476.6,28,29181.6
50,146,1416461360,30,0,31,44086.3,31,44086.3,31,44086.3,31,44086.3,23,33687.5,27,26364.3,28,40948.3,21,23420.1,26,38350.1,50,54268.3,26,26554.9
50,147,1416461360,15,0,16,19953,16,19953,16,19953,16,19953,30,43775,38,37678.8,7,9419.57,18,19457,14,18190.4,15,13935.4,23,22999.7
50,148,1416461360,45,0,46,64478.5,46,64478.5,46,64478.5,46,64478.5,18,25264.1,8,7350.64,35,50523.9,26,28649,21,29855.2,11,10374.3,21,20784.8
50,149,1416461360,21,0,22,29028.8,22,29028.8,22,29028.8,22,29028.8,32,47397.8,47,48103.4,41,60414,35,40212,38,56968.1,49,52194.5,39,43363.9
50,150,1416461360,44,0,45,63065.1,45,63065.1,45,63065.1,45,63065.1,22,31885,44,44545.7,39,57647.5,34,38561.4,23,33447.2,43,44856.4,31,32823
50,151,1416461360,9,0,10,11793.2,10,11793.2,10,11793.2,10,11793.2,26,38634.4,16,15819.3,24,34431.9,3,2441.61,18,23989.7,38,38810,29,30515
50,152,1416461360,12,0,13,15404,13,15404,13,15404,13,15404,10,13537.2,36,35493.9,34,48669.2,32,35858.6,11,13931.1,4,3311.09,10,8681.11
50,153,1416461360,10,0,11,13407.6,11,13407.6,11,13407.6,11,13407.6,46,68957,23,22447.4,30,43102.6,28,31667.4,47,71256.9,10,9176.08,41,45776.8
50,154,1416461360,11,0,12,14335.2,12,14335.2,12,14335.2,12,14335.2,39,58107.7,22,21483.9,21,29130.8,31,34789.9,33,47820.1,9,8212.55,32,33867.6
50,155,1416461360,2,0,3,2307.59,3,2307.59,3,2307.59,3,2307.59,33,49013,18,17710.1,14,19335.6,8,7677.23,32,45965.1,26,24997.4,34,36290.5
50,156,1416461360,4,0,5,4409.55,5,4409.55,5,4409.55,5,4409.55,38,56709.6,10,9083.7,8,11028.8,12,12868.3,40,59783,46,47934.6,25,25156.8
50,157,1416461360,6,0,7,6921.2,7,6921.2,7,6921.2,7,6921.2,19,27059.4,11,10188.7,36,52319.2,13,13973.3,19,25643.8,22,21173.1,24,24240.6
50,158,1416461360,27,0,28,39588.1,28,39588.1,28,39588.1,28,39588.1,7,9407.94,12,11046.4,48,70413.9,14,14831,3,2256.73,23,22030.8,4,3210.14
50,159,1416461360,38,0,39,55187.1,39,55187.1,39,55187.1,39,55187.1,21,30327.2,13,12185.5,38,56089.7,43,51564.5,13,16908.6,24,23169.9,27,27825.8
50,160,1416461360,2,0,3,2307.59,3,2307.59,3,2307.59,3,2307.59,33,49013,18,17710.1,14,19335.6,8,7677.23,32,45965.1,26,24997.4,34,36290.5
50,161,1416461360,26,0,27,37983.2,27,37983.2,27,37983.2,27,37983.2,40,59866.4,40,39684.4,47,68809,46,55272.9,39,58445.4,21,20050.7,42,47163
