Experiment,System Time,Object at Room,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (Most Probable),Traveled Distance (Most Probable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
511,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
512,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
513,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
514,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
515,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
516,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
517,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
518,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
519,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
520,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
521,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
522,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
523,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
524,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
525,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
526,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
527,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
528,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
529,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
530,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
531,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
532,1411925348,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
533,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
